"ST","AGEP","CIT","MAR","SCHL","SEX","ESR","RAC1P","HISP","PINCP","PWGTP"
32,23,5,5,19,1,1,1,1,15400,15
32,41,1,1,16,1,1,1,1,53000,11
32,43,1,1,19,2,1,1,1,8800,9
32,71,5,3,19,1,1,1,11,50000,16
32,90,1,3,16,2,6,1,1,31200,13
32,74,1,1,19,1,6,2,1,18300,10
32,71,1,1,18,2,6,2,1,11600,9
32,51,1,3,19,2,1,2,1,24000,12
32,59,1,3,21,1,3,1,1,102000,17
32,58,1,3,22,2,3,1,1,50300,18
32,28,1,1,22,2,1,1,1,39000,9
32,32,1,1,18,1,1,1,1,29000,9
32,42,1,1,23,1,1,1,1,500000,18
32,38,1,1,19,2,6,1,1,331000,16
32,12,1,5,8,2,NA,1,1,NA,14
32,9,1,5,6,2,NA,1,1,NA,13
32,7,1,5,4,2,NA,1,1,NA,13
32,4,1,5,1,2,NA,1,1,NA,14
32,74,1,1,19,1,6,1,1,26400,10
32,72,1,1,19,2,6,1,1,13800,10
32,19,1,5,17,1,6,1,2,4800,17
32,29,1,3,22,1,1,6,1,160000,16
32,54,1,1,19,2,6,1,1,5100,40
32,49,1,1,16,1,6,1,1,0,53
32,47,1,2,16,1,1,1,1,27000,56
32,17,1,2,19,1,6,1,1,7700,47
32,8,1,5,5,1,NA,1,1,NA,41
32,43,5,1,21,2,1,1,2,36000,44
32,42,5,1,16,1,1,1,2,1000,52
32,21,5,1,16,1,1,1,2,15000,45
32,17,5,5,16,1,6,1,2,0,48
32,11,1,5,8,2,NA,1,2,NA,53
32,5,1,5,2,2,NA,1,2,NA,53
32,3,1,5,1,2,NA,1,2,NA,52
32,21,3,1,16,2,1,1,4,18000,56
32,42,1,5,15,1,1,1,1,52000,15
32,26,1,5,19,1,3,1,1,21300,45
32,42,1,5,19,1,1,1,1,30000,16
32,60,1,1,21,1,1,1,1,90000,14
32,57,1,1,16,2,1,1,1,17000,13
32,44,1,5,20,2,1,1,1,67000,14
32,79,1,1,20,1,6,1,1,16200,13
32,76,1,1,16,2,6,1,1,6800,17
32,36,1,1,18,2,3,1,1,2400,15
32,52,1,1,19,1,6,1,1,27600,18
32,48,1,3,16,1,6,1,1,3000,20
32,63,1,1,16,1,6,1,1,50000,12
32,47,1,1,21,2,1,1,1,110000,12
32,48,1,1,17,2,3,1,1,10800,18
32,58,1,1,16,1,1,1,1,30000,19
32,52,1,1,24,1,1,1,1,115000,14
32,54,1,1,21,2,6,1,1,0,13
32,24,1,5,20,2,1,1,1,38000,18
32,58,4,2,21,2,1,6,1,48000,16
32,42,4,5,20,1,1,1,1,65000,17
32,43,1,5,24,1,1,1,1,70000,35
32,54,1,5,15,1,6,2,1,14000,21
32,34,1,1,16,2,1,1,1,15000,41
32,34,1,1,19,1,1,1,1,52000,35
32,6,1,5,3,2,NA,1,1,NA,34
32,42,5,1,15,1,1,1,2,46000,12
32,49,4,1,19,2,1,1,2,26000,12
32,17,1,5,14,2,1,1,2,350,12
32,13,1,5,11,1,NA,1,2,NA,12
32,30,4,3,19,2,1,1,2,24000,16
32,11,1,5,7,2,NA,1,2,NA,13
32,7,1,5,3,1,NA,1,2,NA,12
32,33,1,1,16,1,1,1,1,52000,35
32,30,1,1,16,2,6,1,1,0,37
32,13,1,5,10,1,NA,1,1,NA,40
32,10,1,5,6,1,NA,1,1,NA,40
32,7,1,5,3,1,NA,1,1,NA,40
32,40,1,1,20,2,3,1,1,2400,13
32,40,1,1,18,1,1,1,1,85300,12
32,16,1,5,14,1,6,1,1,0,12
32,14,1,5,12,1,NA,1,1,NA,13
32,11,1,5,9,2,NA,1,1,NA,12
32,77,1,3,17,1,6,1,1,54000,12
32,44,1,3,21,1,1,1,1,90000,36
32,36,1,5,21,2,1,1,1,50000,30
